coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Tue Apr 12 13:37:00 +0000 2022,,,https://www.africa.com/how-education-organisations-used-blended-learning-to-overcome-covid-19-challenges/,1,1.51387E+18,,,,en,,FALSE,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",How Education Organisations Used Blended Learning To Overcome Covid-19 Challenges https://t.co/qZGcTH9n6A,https://twitter.com/Africa_com/status/1513873824567205888,Thu Feb 11 23:03:55 +0000 2010,113487858,FALSE,"We want people to see the tremendous triumphs, beauty, grace, and intelligence that exist in Africa. We tell the REAL story of what Africa is all about.",4015,29038,12199,417,South Africa,Africa.com,Africa_com,18467,,http://eepurl.com/b42yoH,FALSE
,Mon Apr 11 03:29:53 +0000 2022,,,,12,1.51336E+18,C00lGirlJanetrd,1.51336E+18,8.38216E+17,en,,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","During this time I was starting college and it wasn't going well. This was during the height of the Covid pandemic, so I had to take classes online, and even if Covid wasn't a thing the college I was enrolled in was an hour drive there and back.",https://twitter.com/C00lGirlJanetrd/status/1513358651070767110,Sun Mar 05 02:35:28 +0000 2017,8.38216E+17,FALSE,"Game Developer.
She/Her, 21 yo, gay.
creator of @AscendedGame",82081,119,371,5,Your Mom,Janet's Cool Games 🏳️‍⚧️🏳️‍🌈,C00lGirlJanetrd,4290,,https://ko-fi.com/janetrd,FALSE
,Mon Apr 11 21:10:02 +0000 2022,,,,0,1.51363E+18,,,,en,,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","If one more of y’all call this phone for a courtesy anything due to covid for some ONLINE classes. It’s 20FUCKING22. If you in public without a mask, you can study hoe.",https://twitter.com/MaGilliCuddie/status/1513625446151344140,Thu Jul 03 18:17:20 +0000 2014,2668745877,FALSE,ERE 🌹💜 EJME 👑💙 LAW 🖤💙 DIMA 👑💜 IG: thugcuddie,6697,335,509,0,,TataLaLicious,MaGilliCuddie,3396,,,FALSE
,Mon Apr 11 16:38:53 +0000 2022,output costs inflation Europe energy Guangzhou China Citi,https://twitter.com/MercoglianoTB/status/1513557206309945347/photo/1,https://salvatoremercogliano.blogspot.com/2022/04/recession-unlikely-for-many-economists.html?spref=tw,0,1.51356E+18,,,,en,,FALSE,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#output falls while #costs and #inflation rise
#Europe to a recession because of its total #energy blockade
#Guangzhou  closed in-person classes shifting courses online
#China' zero -Covid until after Oct. or Nov but GDP forecast raised to 5.0%(#Citi)
https://t.co/cgQtzIeu2X https://t.co/ZjyFrlGne3",https://twitter.com/MercoglianoTB/status/1513557206309945347,Tue May 03 08:31:50 +0000 2016,7.27415E+17,FALSE,Blogger di MercoglianoTrueBlog,8218,346,416,0,Giornalista pubblicista,MercoglianoTrueBlog,MercoglianoTB,17284,,http://www.salvatoremercogliano.blogspot.com,FALSE
,Tue Apr 12 18:12:09 +0000 2022,COVID19 pesquisa ensino,https://twitter.com/OckeReis/status/1513943067337928706/photo/1,https://www.heljves.com,0,1.51394E+18,,,,en,,FALSE,,2,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Honrado em representar o nosso país. Brasil 🇧🇷
- The results of the Greek vascular society from the vascular e-Learning during the COVID-19 pandemic (EL-COVID) survey: a comparison to the global results- 
https://t.co/zyPPYhJNpe

@uff_br 
@huap 

#COVID19 
#pesquisa
#ensino https://t.co/JoVKXZw0IZ",https://twitter.com/OckeReis/status/1513943067337928706,Sat Aug 12 01:17:02 +0000 2017,8.96179E+17,FALSE,Specialist in Vascular & Endovascular Surgery. Professor of Vascular Surgery-@uff_br/ @huap RJ-Brazil. https://t.co/SvtlftBfc0 Reviewer JVS. CRM 497496 RQE 8256,6054,1679,1146,17,"Niterói/Rio de Janeiro, Brazil",Paulo E. Ocke Reis,OckeReis,4336,,,FALSE
,Tue Apr 12 08:53:23 +0000 2022,,,,2,1.5138E+18,BethYorkshireOT,1.5138E+18,7.47841E+17,en,,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@BethYorkshireOT @judem2013 @hbattyphysio @shirlmasterson Loved working at shu. I know how hard its been to deliver training during covid and the staff efforts made… digests, bespoke virtual placements, online learning resources, well-being services, academic adviser cover to name but a few. It's been hard on everyone. Top efforts 💚",https://twitter.com/BamberHayley/status/1513802449592672260,Sat Jun 02 22:36:16 +0000 2018,1.00304E+18,FALSE,"Lecturer in Occupational Therapy @uclan, previously @SHU/previous CMHT Manager/Occupational Therapist! Passionate about co-production!!! 👩‍👩‍👧‍👦 Proud mum",1925,434,524,0,"North West, England",hellomynameis Dr Hayley Bamber (pronouns her/she),BamberHayley,937,,,FALSE
,Tue Apr 12 07:21:27 +0000 2022,,https://twitter.com/ndtvfeed/status/1513773672271597568/photo/1,https://www.ndtv.com/noida-news/noida-school-reports-16-covid-cases-moves-back-to-online-classes-report-2879519,0,1.51378E+18,,,,en,,FALSE,,0,,,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","ndtvfeed: Noida School Reports 16 Covid Cases, Moves Back To Online Classes: Report https://t.co/swPKXSvH3z https://t.co/Ix6VtxYX0Y",https://twitter.com/TheNativeNewsIn/status/1513779311559520260,Wed Jul 15 10:24:17 +0000 2020,1.28335E+18,FALSE,,10183,4630,1,4,,The Native News,TheNativeNewsIn,30025,,,FALSE
,Tue Apr 12 12:15:06 +0000 2022,,,,0,1.51385E+18,BobVill41378169,1.5137E+18,1.49545E+18,en,,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@BobVill41378169 @kathleenmcnei18 @imgrund The absenteeism isn’t the same as Covid numbers. They said due to reduced testing, 30% absent would trigger online learning as that is much higher than usual and indicates a LIKELY COVID outbreak. Either way 30% absent indicates an issue of some kind that needs to be handled",https://twitter.com/szuiderveen/status/1513853214055092224,Wed Feb 29 00:55:12 +0000 2012,508163365,FALSE,,176,4,33,0,,Stacey Zuiderveen,szuiderveen,303,,,FALSE
,Tue Apr 12 07:07:14 +0000 2022,,,https://searchnews.in/india/noida-school-reports-16-covid-cases-goes-back-to-online-classes-report/,0,1.51378E+18,,,,en,,FALSE,,0,,,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">Jetpack.com</a>","Noida school reports 16 Covid cases, goes back to online classes: Report https://t.co/LwaO2twap6",https://twitter.com/searchnewsin/status/1513775735231627266,Wed Nov 03 02:37:04 +0000 2021,1.45573E+18,FALSE,"On the website you get the latest news related to Business, Technology, Lifestyle, Education, Health, Agriculture, Science News, Crime, Religion",0,7,3,0,,Search News,searchnewsin,16464,,https://www.searchnews.in/,FALSE
,Tue Apr 12 18:09:41 +0000 2022,,,https://hechingerreport.org/after-the-pandemic-disrupted-their-high-school-educations-students-are-arriving-at-college-unprepared/,0,1.51394E+18,,,,en,,FALSE,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",COVID remote learning made many students unprepared for college https://t.co/lntju31620,https://twitter.com/ERICBRA47129428/status/1513942446388002817,Mon Feb 07 14:13:49 +0000 2022,1.49069E+18,FALSE,,0,0,1,0,,ERIC BRANDT,ERICBRA47129428,2,,,FALSE
